sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
fish,Fis-28618,Canthigaster callisterna,Clown toado,275248,NA,LC,0.2,5.759825327510917,1.1519650655021836,2.3031007559577947e-5
other,Fis-23004,Apristurus manis,Ghost catshark,105808,NA,LC,0.2,5.74468085106383,1.148936170212766,2.2970451460789192e-5
other,W-Scl-716610,Lithophyllon spinifer,NA,716610,NA,LC,0.2,5.7354517611026035,1.1470903522205207,2.2933548390196096e-5
fish,Fis-50213,Pyramodon punctatus,Dogtooth pearlfish,217835,NA,LC,0.2,5.713621262458472,1.1427242524916943,2.284625783002912e-5
fish,Fis-163594,Koumansetta hectori,Hector's goby,344662,NA,LC,0.2,5.5794357832219745,1.1158871566443949,2.230970913090097e-5
other,Fis-23260,Somniosus rostratus,Little sleeper shark,105920,NA,LC,0.2,5.572347266881029,1.1144694533762058,2.22813652725109e-5
fish,Fis-150629,Myersina filifer,Filamentous shrimpgoby,281597,NA,LC,0.2,5.569946452476573,1.1139892904953148,2.2271765471899924e-5
fish,Fis-166703,Eviota atriventris,Blackbelly dwarfgoby,712864,NA,LC,0.2,5.554731792411688,1.1109463584823376,2.2210928739699535e-5
fish,Fis-25792,Platax pinnatus,Dusky batfish,218712,NA,LC,0.2,5.554731792411688,1.1109463584823376,2.2210928739699535e-5
fish,Fis-125703,Cepola australis,Australian bandfish,273318,NA,LC,0.2,5.5545542323785,1.1109108464757,2.2210218755240965e-5
fish,Fis-23771,Sardinella gibbosa,Goldstripe sardinella,212277,NA,LC,0.2,5.552165354330708,1.1104330708661416,2.220066668286911e-5
fish,Fis-23180,Lycengraulis grossidens,Atlantic sabretooth anchovy,281446,NA,LC,0.2,5.523468931604828,1.1046937863209656,2.2085922312831383e-5
fish,Fis-35605,Symphurus varius,Mottled tonguefish,274283,NA,LC,0.2,5.456772334293948,1.0913544668587896,2.1819231962079233e-5
fish,Fis-35874,Lophonectes gallus,Crested flounder,281398,NA,LC,0.2,5.434691745036573,1.0869383490073146,2.1730941399572486e-5
other,Fis-25603,Taeniura lymma,Ribbontail stingray,217422,11080258,LC,0.2,5.430071009570855,1.086014201914171,2.1712465111249392e-5
fish,Fis-54144,Cryptocentrus albidorsus,White-backed shrimpgoby,278321,NA,LC,0.2,5.413435114503817,1.0826870229007635,2.1645945485520592e-5
fish,Fis-35169,Chromis scotochiloptera,Philippines chromis,273755,NA,LC,0.2,5.388463089955628,1.0776926179911255,2.1546093345317607e-5
marine mammal,ITS-Mam-180505,Hyperoodon planifrons,Southern bottlenose whale,343900,NA,LC,0.2,5.38481228668942,1.076962457337884,2.1531495389157207e-5
fish,Fis-158899,Ogilbia nudiceps,Slickhead brotula,281853,NA,LC,0.2,5.3642229790285,1.0728445958057,2.1449167805693834e-5
fish,Fis-47748,Hoplostethus japonicus,Western Pacific roughy,272231,NA,LC,0.2,5.324797843665769,1.0649595687331537,2.1291524033713538e-5
fish,Fis-28999,Lophiodes spilurus,Threadfin angler,278534,NA,LC,0.2,5.322222222222222,1.0644444444444445,2.128122525665626e-5
crustacean,SLB-184836,Stereomastis suhmi,deepsea blind lobster,383000,NA,LC,0.2,5.303446095478976,1.0606892190957953,2.1206147786008345e-5
fish,Fis-57016,Periophthalmus chrysospilos,NA,277974,NA,LC,0.2,5.244372990353698,1.0488745980707397,2.0969940426696642e-5
fish,Fis-112301,Filicampus tigris,Tiger pipefish,280779,NA,LC,0.2,5.243630573248407,1.0487261146496816,2.096697182730481e-5
marine mammal,ITS-Mam-180455,Lissodelphis peronii,Southern right whale dolphin,231414,NA,LC,0.2,5.221843003412969,1.0443686006825939,2.0879852920558092e-5
fish,Fis-23426,Carangoides otrynter,Threadfin jack,276243,NA,LC,0.2,5.217361350327248,1.0434722700654495,2.0861932761485966e-5
fish,Fis-25512,Cyclichthys orbicularis,Birdbeak burrfish,219968,NA,LC,0.2,5.216296697347049,1.0432593394694099,2.0857675682591895e-5
fish,Fis-167320,Ostorhinchus flavus,Brassy cardinalfish,713304,NA,LC,0.2,5.191331110541165,1.038266222108233,2.0757849284088227e-5
fish,Fis-25179,Nemipterus peronii,Notchedfin threadfin bream,218520,NA,LC,0.2,5.1802149352438684,1.0360429870487737,2.0713400589423337e-5
